,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand
2000,2022-01-21,S001,P0001,Electronics,North,288,92,0,66.74,10,Sunny,0,63.13,Winter,0,90
2100,2022-01-22,S001,P0001,Electronics,North,196,87,181,77.18,0,Sunny,0,74.8,Winter,0,102
2200,2022-01-23,S001,P0001,Electronics,North,109,109,276,70.74,15,Snowy,1,65.08,Winter,0,126
2300,2022-01-24,S001,P0001,Electronics,North,181,29,0,46.98,25,Snowy,1,45.06,Winter,0,44
2400,2022-01-25,S001,P0001,Electronics,North,428,55,0,60.18,10,Snowy,0,56.0,Winter,0,61
2500,2022-01-26,S001,P0001,Electronics,North,373,147,331,68.86,25,Cloudy,1,61.97,Winter,0,160
2600,2022-01-27,S001,P0001,Electronics,North,226,93,0,62.8,10,Cloudy,0,70.46,Winter,0,87
2700,2022-01-28,S001,P0001,Electronics,North,464,201,343,80.4,20,Sunny,1,73.36,Winter,0,194
2800,2022-01-29,S001,P0001,Electronics,North,263,69,0,65.0,5,Sunny,0,77.11,Winter,0,81
2900,2022-01-30,S001,P0001,Electronics,North,537,73,0,71.59,0,Cloudy,0,69.69,Winter,0,79
3000,2022-01-31,S001,P0001,Electronics,North,464,103,0,72.1,10,Cloudy,0,70.23,Winter,0,113
3100,2022-02-01,S001,P0001,Electronics,North,361,102,0,70.53,5,Snowy,0,66.56,Winter,0,90
3200,2022-02-02,S001,P0001,Electronics,North,259,94,215,60.16,20,Cloudy,1,54.96,Winter,0,94
3300,2022-02-03,S001,P0001,Electronics,North,165,41,0,64.73,5,Cloudy,0,56.97,Winter,0,66
3400,2022-02-04,S001,P0001,Electronics,North,339,76,0,69.7,10,Snowy,1,81.05,Winter,0,119
3500,2022-02-05,S001,P0001,Electronics,North,263,81,0,64.98,5,Sunny,0,76.39,Winter,0,81
3600,2022-02-06,S001,P0001,Electronics,North,182,65,124,66.85,0,Sunny,0,65.43,Winter,0,61
3700,2022-02-07,S001,P0001,Electronics,North,117,74,0,61.3,5,Snowy,0,70.26,Winter,0,65
3800,2022-02-08,S001,P0001,Electronics,North,167,84,298,76.98,10,Snowy,0,68.59,Winter,0,135
3900,2022-02-09,S001,P0001,Electronics,North,83,83,0,77.83,0,Sunny,0,85.01,Winter,0,120
4000,2022-02-10,S001,P0001,Electronics,North,298,59,0,61.17,10,Sunny,0,56.89,Winter,0,65
4100,2022-02-11,S001,P0001,Electronics,North,239,108,247,78.22,0,Sunny,0,70.88,Winter,0,106
4200,2022-02-12,S001,P0001,Electronics,North,131,111,288,80.71,10,Sunny,0,75.02,Winter,0,151
4300,2022-02-13,S001,P0001,Electronics,North,267,65,0,64.14,0,Snowy,0,71.52,Winter,0,63
4400,2022-02-14,S001,P0001,Electronics,North,490,54,0,60.31,10,Snowy,0,53.53,Winter,0,61
4500,2022-02-15,S001,P0001,Electronics,North,436,109,0,62.09,25,Snowy,1,68.99,Winter,0,141
4600,2022-02-16,S001,P0001,Electronics,North,327,114,0,58.68,20,Sunny,1,70.98,Winter,0,102
4700,2022-02-17,S001,P0001,Electronics,North,213,66,142,49.1,25,Cloudy,1,55.59,Winter,0,69
4800,2022-02-18,S001,P0001,Electronics,North,147,142,218,81.26,5,Sunny,0,76.94,Winter,0,135
4900,2022-02-19,S001,P0001,Electronics,North,147,41,0,54.62,15,Sunny,1,61.39,Winter,0,64
5000,2022-02-20,S001,P0001,Electronics,North,324,161,267,78.12,10,Sunny,0,75.03,Winter,0,140
5100,2022-02-21,S001,P0001,Electronics,North,163,135,0,69.35,15,Snowy,1,62.07,Winter,0,119
5200,2022-02-22,S001,P0001,Electronics,North,295,81,294,72.97,10,Sunny,0,85.45,Winter,0,134
5300,2022-02-23,S001,P0001,Electronics,North,214,167,0,79.37,10,Sunny,1,77.35,Winter,0,145
5400,2022-02-24,S001,P0001,Electronics,North,341,104,0,68.37,10,Snowy,1,67.31,Winter,0,97
5500,2022-02-25,S001,P0001,Electronics,North,237,111,243,77.73,0,Snowy,0,88.92,Winter,0,120
5600,2022-02-26,S001,P0001,Electronics,North,126,73,0,68.03,5,Cloudy,0,67.23,Winter,0,79
5700,2022-02-27,S001,P0001,Electronics,North,296,141,305,77.19,10,Sunny,0,92.65,Winter,0,153
5800,2022-02-28,S001,P0001,Electronics,North,155,112,0,62.36,20,Snowy,1,67.27,Winter,0,121
5900,2022-03-01,S001,P0001,Electronics,North,348,89,283,75.76,10,Sunny,0,70.35,Spring,0,129
6000,2022-03-02,S001,P0001,Electronics,North,259,101,0,65.05,15,Cloudy,1,69.99,Spring,0,115
6100,2022-03-03,S001,P0001,Electronics,North,441,111,0,64.72,15,Sunny,1,71.82,Spring,0,113
6200,2022-03-04,S001,P0001,Electronics,North,330,95,0,63.43,15,Cloudy,1,62.23,Spring,0,91
6300,2022-03-05,S001,P0001,Electronics,North,235,87,171,68.92,10,Sunny,1,62.46,Spring,0,99
6400,2022-03-06,S001,P0001,Electronics,North,148,115,301,63.11,25,Rainy,1,60.31,Spring,0,129
6500,2022-03-07,S001,P0001,Electronics,North,204,94,0,81.17,0,Sunny,0,76.77,Spring,0,117
6600,2022-03-08,S001,P0001,Electronics,North,411,45,0,61.06,10,Cloudy,0,54.47,Spring,0,64
6700,2022-03-09,S001,P0001,Electronics,North,366,195,383,81.24,15,Rainy,1,72.83,Spring,0,175
6800,2022-03-10,S001,P0001,Electronics,North,171,65,0,61.18,10,Rainy,0,65.79,Spring,0,79
6900,2022-03-11,S001,P0001,Electronics,North,489,32,0,58.13,0,Rainy,0,68.76,Spring,0,38
7000,2022-03-12,S001,P0001,Electronics,North,457,77,0,56.44,15,Sunny,1,62.51,Spring,0,73
7100,2022-03-13,S001,P0001,Electronics,North,380,75,0,63.17,20,Sunny,1,73.23,Spring,0,125
7200,2022-03-14,S001,P0001,Electronics,North,305,118,192,78.53,0,Cloudy,0,76.25,Spring,0,107
7300,2022-03-15,S001,P0001,Electronics,North,187,129,0,65.22,20,Rainy,1,65.12,Spring,0,119
7400,2022-03-16,S001,P0001,Electronics,North,250,103,203,69.72,5,Rainy,0,61.26,Spring,0,86
7500,2022-03-17,S001,P0001,Electronics,North,147,92,0,69.39,10,Cloudy,0,62.27,Spring,0,101
7600,2022-03-18,S001,P0001,Electronics,North,258,103,172,67.53,5,Rainy,0,81.08,Spring,0,92
7700,2022-03-19,S001,P0001,Electronics,North,155,75,270,81.7,0,Rainy,0,76.0,Spring,0,119
7800,2022-03-20,S001,P0001,Electronics,North,252,147,0,82.98,5,Sunny,0,76.43,Spring,0,142
7900,2022-03-21,S001,P0001,Electronics,North,375,74,0,74.32,0,Sunny,0,72.51,Spring,0,90
8000,2022-03-22,S001,P0001,Electronics,North,301,80,0,56.63,15,Rainy,1,66.67,Spring,0,74
8100,2022-03-23,S001,P0001,Electronics,North,221,90,147,61.55,10,Sunny,0,66.88,Spring,0,81
8200,2022-03-24,S001,P0001,Electronics,North,131,41,0,51.93,10,Sunny,0,61.99,Spring,0,36
8300,2022-03-25,S001,P0001,Electronics,North,237,107,275,68.79,10,Cloudy,0,75.03,Spring,0,115
8400,2022-03-26,S001,P0001,Electronics,North,130,99,0,74.0,0,Cloudy,0,72.08,Spring,0,89
8500,2022-03-27,S001,P0001,Electronics,North,306,111,0,65.59,10,Sunny,0,72.31,Spring,0,100
8600,2022-03-28,S001,P0001,Electronics,North,195,65,119,59.74,10,Rainy,0,51.11,Spring,0,59
8700,2022-03-29,S001,P0001,Electronics,North,130,130,342,83.15,5,Sunny,0,90.6,Spring,0,161
8800,2022-03-30,S001,P0001,Electronics,North,119,73,0,61.77,10,Cloudy,0,74.22,Spring,0,82
8900,2022-03-31,S001,P0001,Electronics,North,388,121,0,69.04,10,Rainy,0,83.43,Spring,0,116
