,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic
3900,2022/2/9,S001,P0001,Electronics,North,83,83,0,120,77.83,0,Sunny,0,85.01,Winter,0
4000,2022/2/10,S001,P0001,Electronics,North,298,59,0,65,61.17,10,Sunny,0,56.89,Winter,0
4100,2022/2/11,S001,P0001,Electronics,North,239,108,247,106,78.22,0,Sunny,0,70.88,Winter,0
4200,2022/2/12,S001,P0001,Electronics,North,131,111,288,151,80.71,10,Sunny,0,75.02,Winter,0
4300,2022/2/13,S001,P0001,Electronics,North,267,65,0,63,64.14,0,Snowy,0,71.52,Winter,0
4400,2022/2/14,S001,P0001,Electronics,North,490,54,0,61,60.31,10,Snowy,0,53.53,Winter,0
4500,2022/2/15,S001,P0001,Electronics,North,436,109,0,141,62.09,25,Snowy,1,68.99,Winter,0
4600,2022/2/16,S001,P0001,Electronics,North,327,114,0,102,58.68,20,Sunny,1,70.98,Winter,0
4700,2022/2/17,S001,P0001,Electronics,North,213,66,142,69,49.1,25,Cloudy,1,55.59,Winter,0
4800,2022/2/18,S001,P0001,Electronics,North,147,142,218,135,81.26,5,Sunny,0,76.94,Winter,0
4900,2022/2/19,S001,P0001,Electronics,North,147,41,0,64,54.62,15,Sunny,1,61.39,Winter,0
5000,2022/2/20,S001,P0001,Electronics,North,324,161,267,140,78.12,10,Sunny,0,75.03,Winter,0
5100,2022/2/21,S001,P0001,Electronics,North,163,135,0,119,69.35,15,Snowy,1,62.07,Winter,0
5200,2022/2/22,S001,P0001,Electronics,North,295,81,294,134,72.97,10,Sunny,0,85.45,Winter,0
5300,2022/2/23,S001,P0001,Electronics,North,214,167,0,145,79.37,10,Sunny,1,77.35,Winter,0
5400,2022/2/24,S001,P0001,Electronics,North,341,104,0,97,68.37,10,Snowy,1,67.31,Winter,0
5500,2022/2/25,S001,P0001,Electronics,North,237,111,243,120,77.73,0,Snowy,0,88.92,Winter,0
5600,2022/2/26,S001,P0001,Electronics,North,126,73,0,79,68.03,5,Cloudy,0,67.23,Winter,0
5700,2022/2/27,S001,P0001,Electronics,North,296,141,305,153,77.19,10,Sunny,0,92.65,Winter,0
5800,2022/2/28,S001,P0001,Electronics,North,155,112,0,121,62.36,20,Snowy,1,67.27,Winter,0
5900,2022/3/1,S001,P0001,Electronics,North,348,89,283,129,75.76,10,Sunny,0,70.35,Spring,0
6000,2022/3/2,S001,P0001,Electronics,North,259,101,0,115,65.05,15,Cloudy,1,69.99,Spring,0
6100,2022/3/3,S001,P0001,Electronics,North,441,111,0,113,64.72,15,Sunny,1,71.82,Spring,0
6200,2022/3/4,S001,P0001,Electronics,North,330,95,0,91,63.43,15,Cloudy,1,62.23,Spring,0
6300,2022/3/5,S001,P0001,Electronics,North,235,87,171,99,68.92,10,Sunny,1,62.46,Spring,0
6400,2022/3/6,S001,P0001,Electronics,North,148,115,301,129,63.11,25,Rainy,1,60.31,Spring,0
6500,2022/3/7,S001,P0001,Electronics,North,204,94,0,117,81.17,0,Sunny,0,76.77,Spring,0
6600,2022/3/8,S001,P0001,Electronics,North,411,45,0,64,61.06,10,Cloudy,0,54.47,Spring,0
6700,2022/3/9,S001,P0001,Electronics,North,366,195,383,175,81.24,15,Rainy,1,72.83,Spring,0
6800,2022/3/10,S001,P0001,Electronics,North,171,65,0,79,61.18,10,Rainy,0,65.79,Spring,0
6900,2022/3/11,S001,P0001,Electronics,North,489,32,0,38,58.13,0,Rainy,0,68.76,Spring,0
7000,2022/3/12,S001,P0001,Electronics,North,457,77,0,73,56.44,15,Sunny,1,62.51,Spring,0
7100,2022/3/13,S001,P0001,Electronics,North,380,75,0,125,63.17,20,Sunny,1,73.23,Spring,0
7200,2022/3/14,S001,P0001,Electronics,North,305,118,192,107,78.53,0,Cloudy,0,76.25,Spring,0
7300,2022/3/15,S001,P0001,Electronics,North,187,129,0,119,65.22,20,Rainy,1,65.12,Spring,0
7400,2022/3/16,S001,P0001,Electronics,North,250,103,203,86,69.72,5,Rainy,0,61.26,Spring,0
7500,2022/3/17,S001,P0001,Electronics,North,147,92,0,101,69.39,10,Cloudy,0,62.27,Spring,0
7600,2022/3/18,S001,P0001,Electronics,North,258,103,172,92,67.53,5,Rainy,0,81.08,Spring,0
7700,2022/3/19,S001,P0001,Electronics,North,155,75,270,119,81.7,0,Rainy,0,76,Spring,0
7800,2022/3/20,S001,P0001,Electronics,North,252,147,0,142,82.98,5,Sunny,0,76.43,Spring,0
7900,2022/3/21,S001,P0001,Electronics,North,375,74,0,90,74.32,0,Sunny,0,72.51,Spring,0
8000,2022/3/22,S001,P0001,Electronics,North,301,80,0,74,56.63,15,Rainy,1,66.67,Spring,0
8100,2022/3/23,S001,P0001,Electronics,North,221,90,147,81,61.55,10,Sunny,0,66.88,Spring,0
8200,2022/3/24,S001,P0001,Electronics,North,131,41,0,36,51.93,10,Sunny,0,61.99,Spring,0
8300,2022/3/25,S001,P0001,Electronics,North,237,107,275,115,68.79,10,Cloudy,0,75.03,Spring,0
8400,2022/3/26,S001,P0001,Electronics,North,130,99,0,89,74,0,Cloudy,0,72.08,Spring,0
8500,2022/3/27,S001,P0001,Electronics,North,306,111,0,100,65.59,10,Sunny,0,72.31,Spring,0
8600,2022/3/28,S001,P0001,Electronics,North,195,65,119,59,59.74,10,Rainy,0,51.11,Spring,0
8700,2022/3/29,S001,P0001,Electronics,North,130,130,342,161,83.15,5,Sunny,0,90.6,Spring,0
8800,2022/3/30,S001,P0001,Electronics,North,119,73,0,82,61.77,10,Cloudy,0,74.22,Spring,0
8900,2022/3/31,S001,P0001,Electronics,North,388,121,0,116,69.04,10,Rainy,0,83.43,Spring,0
