Inventory Level,Units Sold,Units Ordered,Price,Discount,Competitor Pricing,Demand
99,99,0,57.2,20,66.25,159
220,57,136,77.66,5,76.61,81
103,38,58,54.45,5,50.65,58
131,69,0,98.97,0,104.66,108
0,0,0,67.22,10,74.94,174
152,73,0,75.78,10,72.22,93
42,42,0,143.23,10,138.45,122
0,0,0,74.98,0,83.33,100
83,83,319,178.05,0,202.29,95
203,80,0,50.38,5,54.94,116
0,0,614,41.54,10,36.53,171
82,82,130,40.18,0,45.01,115
239,65,0,18.73,10,16.1,67
123,78,0,129.42,5,137.11,68
101,50,73,25.7,10,27.74,72
132,42,0,61.66,10,54.88,67
159,113,102,69.87,0,81.54,116
0,0,0,46.51,20,41.33,96
242,58,0,88.09,5,100.36,52
0,0,0,52.34,20,61.75,129
0,0,0,37.81,10,32.55,86
0,0,0,25.59,20,30.25,185
109,109,141,43.67,10,48.84,119
161,88,115,81.46,15,70.34,101
0,0,0,133.12,0,125.09,71
356,54,0,151.43,10,148.93,70
447,65,0,75.21,10,87.92,101
136,79,147,28.99,25,25.69,126
479,147,368,76.99,10,73.32,133
118,81,74,15.01,0,16.1,75
372,100,0,40.46,0,47.46,111
121,59,0,18.23,10,21.61,62
167,63,117,57.88,10,51.61,100
137,49,0,109.44,5,131.36,80
52,52,424,127.11,10,111.71,110
331,172,0,103.11,0,123.5,180
141,90,0,29.92,10,35.78,96
596,166,0,68.92,25,75.44,139
339,92,0,37.63,10,32.53,80
0,0,0,74.22,15,73.52,64
172,98,0,71.52,0,65.75,106
226,96,0,28.57,10,27.1,112
182,96,0,26.73,0,29.55,109
389,110,262,63.42,20,60.75,161
130,77,99,81.42,10,71.67,88
191,106,0,94.34,10,105.72,128
0,0,0,74.94,10,72.04,140
331,47,0,16.91,20,14.67,69
0,0,0,124.24,15,142.52,146
0,0,0,65.07,5,72.43,95
470,117,0,93.55,5,105.37,129
196,95,0,17.01,25,20.16,119
181,181,206,34.99,10,38.26,214
0,0,0,95.83,10,111.25,160
132,90,255,143.16,5,136.86,104
76,76,0,15.15,10,16.99,95
236,122,0,65.96,0,64.74,132
197,145,182,110.35,10,95.07,185
518,56,0,19.87,5,19.62,55
106,106,680,21.41,20,22.92,149
120,71,125,40.83,0,45.75,107
0,0,670,16.12,20,18.73,170
307,174,357,131.49,10,119.27,156
168,86,0,43.15,25,50.59,116
178,129,157,42.18,5,45.73,138
617,114,0,142.09,0,165.96,140
224,62,0,87.64,20,76.28,90
0,0,0,66.9,25,71.48,166
128,128,688,101.6,25,110.1,227
0,0,0,132.02,5,118.88,203
289,126,233,105.97,5,104.6,112
63,63,498,138.36,10,149.04,148
125,87,486,123.23,20,138.76,115
139,116,83,55.43,0,63.92,99
0,0,0,80.2,0,73.82,103
0,0,0,10.55,0,11.27,83
245,133,357,24.76,0,26.42,164
407,173,0,165.54,10,157.42,144
258,87,0,46.09,10,55.06,84
150,92,172,81.79,10,75.44,150
347,118,0,35.73,5,38.12,107
0,0,0,25.97,20,22.56,120
108,68,63,93.91,5,111.72,75
299,201,0,143.79,15,165.24,235
0,0,0,23.58,0,21.79,57
0,0,0,55.29,10,60.87,104
163,80,0,97.47,25,96.97,117
385,165,0,21.87,20,23.8,198
246,23,0,110.34,25,106.7,28
68,68,300,103.84,0,121.47,94
218,92,0,114.25,5,127.49,80
263,35,0,67.23,20,78.11,54
133,123,96,155.02,20,150.33,113
80,80,89,53.04,10,51.94,75
111,111,329,158.31,5,181.3,150
126,58,0,12.03,0,11.04,83
474,77,0,39.78,0,47.27,83
166,43,0,22.64,15,24.37,59
150,82,93,7.04,10,6.13,88
218,183,268,18.83,10,18.76,164
0,0,0,53.05,10,52.1,80
163,140,274,87.87,15,75.2,157
123,120,193,72.27,5,79.04,162
330,160,482,83.39,25,100.61,146
436,102,0,67.01,0,57.47,118
79,79,374,85.83,0,73.3,99
0,0,0,96.76,15,111.69,41
328,189,0,77.38,15,84.55,165
219,76,0,150.93,20,142.02,97
315,66,0,49.18,0,57.91,92
191,105,0,36.59,0,32.47,93
130,78,122,29.38,25,32.52,107
174,69,0,19.53,15,20.94,112
158,37,0,126.83,0,113.21,37
124,93,108,33.42,5,31.07,119
319,129,0,59.56,25,57.34,110
148,77,85,57.54,10,63.99,89
612,156,0,61.64,0,69.67,131
184,38,0,76.08,25,75.04,62
271,91,0,57.21,15,53.28,122
172,143,0,35.63,25,34.75,125
335,97,0,28.84,0,33.46,147
141,57,0,39.03,10,42.99,85
188,130,167,92.22,10,105.32,140
300,86,0,117.69,15,113.38,82
302,62,0,137.69,25,120.07,95
382,111,0,65.96,25,58.69,101
204,44,0,30.86,0,34.03,74
332,86,0,73.34,15,72.81,136
111,40,0,11.68,10,13.69,37
272,140,0,43.67,20,40.52,200
62,36,52,17.91,10,19.32,57
221,109,119,57.56,20,52.64,136
88,66,50,89.13,15,102.26,55
0,0,0,122.84,20,110.93,137
509,132,371,80.86,20,69.75,154
217,81,139,30.8,5,29.74,74
430,93,0,75.8,0,88.98,79
247,65,210,31.95,15,37.15,65
334,107,0,95.04,15,113.93,157
74,74,115,63.82,10,68.88,119
130,69,0,22.96,10,25.89,64
86,86,140,23.51,25,20.93,145
279,243,521,86.08,10,81.81,236
152,53,0,73.77,15,70.27,76
559,206,568,120.94,10,114.78,201
413,60,0,56.28,15,61.95,84
284,66,0,19.27,10,18.88,73
289,171,0,126.06,20,111.81,155
457,76,0,69.42,0,68.34,84
353,173,264,80.89,25,89.91,161
424,52,0,18.76,10,17.08,78
206,120,0,22.23,25,25.93,115
391,96,0,68.86,20,76.1,90
256,79,0,122.57,10,137.11,89
316,141,409,18.5,20,18.46,187
662,154,0,65.99,0,62.46,133
234,172,226,121.31,10,114.6,224
462,162,398,22.18,20,22.13,140
212,69,0,19.88,20,17.89,107
174,62,0,35.38,10,38.95,96
552,67,0,14.15,10,14.98,87
133,124,0,123.56,25,113.39,202
82,82,209,64.79,15,75.07,221
206,114,166,40.8,15,38.86,148
503,243,0,130.31,25,146.68,217
468,175,0,100.54,20,118.36,151
743,72,0,68.96,5,73.84,97
0,0,0,96.42,20,108.79,179
500,90,0,94.15,0,99.85,86
163,152,404,100.22,25,85.84,175
380,90,0,128.92,0,112.17,77
354,86,0,122.47,20,121.36,97
106,106,317,69.98,25,74.67,307
270,146,0,71.56,25,78.7,180
287,88,0,9.25,20,10.18,111
112,87,0,23.6,0,23.4,130
234,54,0,121.52,10,117.9,52
171,60,0,47.66,15,40.55,95
230,157,0,80.18,10,88.3,162
229,55,0,28.72,20,25.42,78
253,81,0,28.22,5,25.1,93
103,74,96,89.39,20,88.36,96
592,115,0,96.07,20,107.21,107
597,218,784,29.29,20,31.07,222
293,146,0,61.57,15,72.03,159
83,83,131,111.58,20,131.13,158
721,83,0,20.75,5,23.49,117
223,46,0,119.71,25,119.28,48
200,53,0,89.97,5,88.43,54
126,83,0,107.39,20,91.29,97
228,114,188,131.36,0,130.43,180
106,106,119,147.45,20,176.11,114
89,54,96,43.1,25,47.26,83
204,99,0,120.97,15,117.68,83
258,163,339,13.08,10,14.13,161
397,86,0,40.3,0,42.73,86
123,71,104,29.04,10,28.91,99
161,106,117,7.01,10,8.17,102
35,35,0,10.42,25,11.06,53
300,121,0,52.86,15,60.89,111
159,127,0,77.36,10,88.65,112
196,117,0,59.97,15,59.38,118
170,74,0,73.22,25,80.3,103
963,144,0,53.57,25,61.18,157
0,0,0,76.89,10,86.57,114
371,66,0,123.61,10,111.52,77
458,37,0,66.97,0,64.97,54
143,60,0,133.69,20,154.85,77
249,105,194,45.39,10,53.16,100
295,92,0,33.68,15,40.17,134
174,71,0,37.15,0,32.24,76
105,34,0,13.19,25,14.95,37
121,84,176,124.92,15,123.38,75
139,65,118,25.81,20,28.69,108
190,98,308,84.03,0,95.54,146
156,86,103,55.73,20,67.09,115
456,97,442,62.85,5,61.5,138
146,41,115,76.7,25,69.92,65
667,71,0,55.13,10,54.53,92
310,130,440,44.53,10,38.82,138
735,110,0,28.44,0,27.95,125
84,84,108,47.69,5,43.48,114
225,152,151,100.31,10,109.87,170
712,37,0,118.84,0,135.43,54
240,96,197,135.85,25,115.6,91
271,100,0,79.21,5,70.24,85
160,142,181,33.78,15,37.71,154
246,138,0,88.88,5,83.07,165
71,71,91,16.63,0,19.71,106
685,71,0,36.35,5,40.11,94
78,78,138,24.24,10,21.31,132
231,123,0,60.31,10,58.34,112
72,72,69,110.01,5,121.77,82
432,157,0,129.63,10,149.36,133
377,128,0,89.44,0,84.9,113
136,69,214,31.48,10,29.66,96
337,97,0,70.03,10,79.27,86
182,110,0,37.81,10,40.19,97
639,55,0,75.35,10,72.02,53
115,115,148,68.69,10,63.47,127
361,85,0,26.4,10,24.37,88
140,77,0,22.32,10,26.84,86
298,113,0,54.33,25,50.38,129
99,91,140,94.6,5,89.83,118
353,152,0,92.11,20,89.74,143
864,70,0,68.15,5,58.85,92
218,108,544,24.89,10,24.8,154
682,33,0,98.21,0,115.59,31
985,117,0,74.99,0,72.16,107
180,30,0,71.37,0,75.28,37
372,33,0,17.88,5,15.35,51
86,86,87,30.2,0,28.21,105
734,139,0,93.63,0,111.08,116
177,88,0,134.79,10,130.59,102
175,77,0,18.13,0,20.24,118
508,138,477,59.42,10,62.8,150
288,118,0,92.85,5,103.91,123
300,82,0,18.16,25,16.66,96
143,54,0,20.51,5,24.65,81
112,112,143,40.33,5,43.71,120
485,160,0,20.64,5,18.91,179
366,107,0,107.83,5,123.78,90
209,130,0,51.96,20,44.71,140
258,81,0,38.09,10,34.35,106
260,174,295,137.01,10,127.76,146
293,72,0,103.88,0,96.14,74
671,121,0,85.35,10,99.35,189
244,111,0,90.22,5,107.41,98
1032,59,0,86.56,5,102.23,77
244,87,0,97.0,10,104.18,118
290,82,0,134.1,0,126.81,88
268,50,0,133.88,5,120.9,73
317,62,0,54.36,0,65.4,94
124,108,0,81.78,0,91.62,125
933,85,0,10.92,10,11.72,126
382,191,334,20.33,20,22.59,174
554,46,0,130.95,0,116.47,44
340,70,304,39.0,25,44.3,88
73,72,94,66.6,10,66.46,84
174,122,232,37.63,0,40.22,107
735,70,0,26.73,0,31.82,77
125,89,85,98.17,5,105.3,88
477,220,506,131.78,15,149.1,198
379,88,0,26.05,0,27.81,99
835,93,0,55.64,10,61.42,106
131,61,0,106.65,5,93.14,73
638,98,0,17.55,15,16.72,84
177,56,0,163.95,0,162.92,55
147,81,0,115.41,0,106.24,111
408,77,0,107.81,10,118.17,79
302,74,0,84.09,5,90.47,68
119,44,67,144.32,10,138.62,58
131,80,112,63.78,0,56.09,98
434,37,0,115.81,0,133.35,42
95,95,0,14.59,0,15.61,163
311,84,389,37.21,20,33.72,114
156,111,116,33.01,5,35.42,139
172,162,120,8.44,10,7.58,146
268,82,0,15.43,10,14.73,97
719,198,652,73.71,5,80.71,190
306,130,275,103.96,0,95.26,159
79,79,135,69.43,5,77.03,148
96,87,0,89.43,10,96.6,109
819,80,0,58.62,5,68.66,108
260,100,0,67.74,25,77.94,132
744,52,0,128.7,0,143.66,73
421,185,514,76.03,20,90.91,182
402,58,0,162.12,5,191.46,83
144,144,333,57.1,10,67.76,178
817,51,0,31.42,5,36.64,78
103,103,116,37.89,5,45.54,113
71,71,127,26.78,0,24.02,145
37,37,130,134.65,5,154.07,79
192,105,0,33.11,5,29.13,116
92,92,0,66.07,10,63.57,87
173,96,0,58.58,10,63.45,94
359,51,0,43.04,15,49.62,71
105,65,0,99.27,0,91.37,57
1357,64,0,56.02,10,47.81,97
180,85,0,46.2,0,40.13,115
625,87,0,25.04,10,26.46,134
108,108,110,46.73,5,53.28,124
224,94,0,96.57,5,96.17,120
675,36,0,114.83,5,111.12,45
144,59,0,163.3,5,155.39,76
171,56,131,61.32,20,70.34,76
199,44,0,23.68,25,23.5,66
476,109,0,60.19,20,65.11,108
91,91,95,16.24,5,14.01,98
614,148,0,38.9,20,42.05,175
138,79,118,22.03,10,20.69,102
108,108,134,50.74,25,55.32,132
69,55,55,104.86,0,111.23,55
275,111,0,122.03,20,108.97,135
249,96,0,84.54,10,91.97,146
206,57,0,31.44,0,27.0,66
240,72,244,59.13,25,54.77,75
72,69,250,41.02,5,37.35,90
584,112,0,101.71,0,101.33,108
148,148,134,74.21,0,87.19,134
276,200,492,32.05,20,31.94,195
63,63,102,25.23,10,29.11,124
706,132,0,70.5,0,63.7,120
148,110,120,95.48,0,106.6,121
201,185,0,109.02,5,131.59,160
794,129,0,61.38,15,70.19,110
110,92,0,22.95,10,22.65,126
649,98,708,114.8,25,133.09,163
868,135,0,73.85,5,70.93,118
414,93,0,79.33,25,68.51,136
339,144,442,21.92,10,21.41,126
87,87,140,29.06,15,26.69,145
595,141,770,107.35,5,128.83,183
344,150,498,152.69,15,137.76,163
507,54,0,15.15,0,16.67,65
370,146,0,65.52,0,75.75,148
170,168,198,102.47,20,122.65,224
218,143,0,26.11,0,30.75,137
89,89,0,27.96,0,24.48,146
143,86,91,39.91,5,35.93,100
325,204,0,19.27,20,16.62,220
259,90,200,118.62,10,105.96,120
79,79,202,72.47,5,70.46,200
177,106,159,46.84,5,46.05,157
86,61,0,113.78,5,125.32,86
221,58,0,67.81,25,77.88,51
1231,115,0,72.09,15,62.68,130
821,266,0,101.16,25,112.75,225
973,39,0,77.03,10,84.04,59
561,148,0,93.94,15,110.05,126
208,41,0,114.85,0,136.76,59
218,44,0,112.33,15,102.59,56
255,195,0,67.97,5,67.29,168
769,169,891,108.81,10,93.08,259
848,99,0,11.13,5,13.29,115
191,84,0,18.74,5,22.29,89
508,119,0,123.07,25,111.21,107
270,81,0,52.71,0,50.35,77
95,65,80,69.57,0,80.17,81
52,52,0,39.93,0,35.71,109
665,61,0,20.88,25,20.15,74
121,38,0,79.73,5,92.01,33
257,93,0,126.5,10,109.95,142
291,158,0,27.59,5,31.24,134
742,106,0,62.28,5,73.82,125
70,70,128,91.49,25,100.84,113
540,175,611,20.53,25,18.47,178
121,111,306,199.44,10,236.04,164
366,62,0,92.93,0,111.43,63
331,76,0,103.51,10,114.49,67
228,185,152,112.69,10,98.09,162
142,90,72,143.49,20,142.13,90
163,157,167,65.01,10,69.22,156
397,147,0,145.76,10,155.54,140
339,109,0,13.61,0,14.72,138
227,34,0,30.41,10,36.04,39
161,68,105,26.19,15,30.49,101
130,82,83,8.0,0,7.63,94
186,61,151,16.62,0,15.85,88
521,96,0,61.21,0,57.12,91
176,70,0,62.93,15,70.71,68
135,135,122,72.5,0,82.44,145
491,124,504,112.68,5,109.74,151
739,104,0,62.64,5,55.06,113
160,32,0,59.46,10,68.22,42
692,117,0,139.61,10,148.24,130
236,176,0,76.85,20,74.22,166
344,82,344,134.38,25,143.16,97
194,47,0,38.42,10,41.84,53
766,95,0,33.14,15,29.56,112
116,61,56,32.86,5,31.87,57
127,77,114,18.28,20,20.61,110
176,107,0,141.26,5,166.27,93
87,87,134,34.15,15,33.81,165
308,96,248,68.56,10,80.99,113
77,77,208,76.3,15,90.66,208
308,109,0,54.15,15,58.19,142
155,32,0,69.37,20,78.42,36
1293,95,0,53.57,5,59.53,83
95,90,0,35.55,20,37.46,119
538,174,650,25.99,10,31.25,147
110,69,97,41.98,10,49.25,107
130,83,105,88.19,5,80.62,92
639,74,0,135.63,0,126.7,76
282,63,0,125.42,25,135.96,83
115,105,162,76.44,5,90.0,90
155,55,0,26.67,10,31.05,62
367,75,348,55.78,25,58.86,104
95,95,137,16.38,15,14.52,137
466,161,508,36.88,25,32.95,160
177,79,0,21.9,0,21.7,69
134,134,229,77.51,15,73.76,227
69,59,64,105.33,10,101.66,70
588,81,0,124.39,5,116.58,87
524,83,0,82.34,10,80.13,120
363,115,0,35.07,10,33.62,130
168,87,422,78.72,10,93.43,122
213,70,0,28.79,25,34.33,71
472,40,0,72.89,5,79.95,44
134,92,120,60.13,25,54.74,143
76,76,441,33.12,10,32.8,163
102,102,139,23.49,15,25.55,120
574,133,0,63.41,10,73.82,137
158,158,129,107.34,0,117.4,161
584,125,526,97.54,20,107.49,183
665,63,0,70.27,0,83.04,101
18,18,0,25.05,0,22.96,120
551,170,0,130.84,20,124.27,169
733,217,798,75.7,20,66.84,188
321,112,409,98.35,15,104.4,187
195,84,0,19.89,5,17.14,80
140,140,191,30.56,25,29.2,213
454,55,0,77.42,10,67.71,75
194,90,0,155.62,0,175.58,130
453,116,0,13.26,25,15.82,110
224,68,0,40.08,25,44.12,83
200,179,204,99.43,25,95.25,217
473,60,0,16.05,25,14.37,61
680,46,0,18.68,5,20.67,55
148,120,124,37.68,20,34.33,137
791,315,1073,20.56,25,19.43,279
169,169,355,111.58,25,106.85,162
202,66,0,45.88,10,53.63,80
230,43,0,33.75,5,30.87,56
320,118,229,120.03,20,102.99,141
163,91,182,98.65,10,92.63,90
1116,112,0,80.03,0,90.6,128
555,94,0,77.3,25,89.81,123
934,151,0,125.22,10,113.06,203
413,83,0,90.27,20,80.01,116
665,44,0,106.32,5,123.22,52
660,76,0,138.05,10,117.99,97
60,60,183,67.83,0,76.78,167
600,210,0,120.06,0,111.2,256
749,123,0,11.21,20,9.69,158
441,145,0,19.45,20,17.32,140
389,115,0,120.54,20,136.15,96
189,88,333,45.12,25,53.21,134
110,110,125,84.07,0,78.03,124
232,174,307,32.07,25,38.56,149
604,127,0,25.03,15,29.52,106
83,77,116,95.01,15,108.92,112
164,126,0,110.64,10,124.02,115
133,133,0,28.48,5,30.83,145
636,170,653,68.04,10,57.9,156
128,61,108,102.56,10,120.25,92
365,83,0,22.46,0,24.86,126
