Date,Units Sold
2022-07-09,33
2022-07-10,42
2022-07-11,15
2022-07-12,32
2022-07-13,20
2022-07-14,52
2022-07-15,29
2022-07-16,86
2022-07-17,50
2022-07-18,39
2022-07-19,47
2022-07-20,65
2022-07-21,39
2022-07-22,85
2022-07-23,64
2022-07-24,38
2022-07-25,64
2022-07-26,95
2022-07-27,116
2022-07-28,72
2022-07-29,83
2022-07-30,72
2022-07-31,132
2022-08-01,117
2022-08-02,53
2022-08-03,146
2022-08-04,158
2022-08-05,40
2022-08-06,41
2022-08-07,92
2022-08-08,86
2022-08-09,47
2022-08-10,35
2022-08-11,76
2022-08-12,118
2022-08-13,67
2022-08-14,103
2022-08-15,107
2022-08-16,97
2022-08-17,54
2022-08-18,93
2022-08-19,83
2022-08-20,85
2022-08-21,105
2022-08-22,91
2022-08-23,144
2022-08-24,48
2022-08-25,174
2022-08-26,60
2022-08-27,79
2022-08-28,57
2022-08-29,122
2022-08-30,83
2022-08-31,90
2022-09-01,44
2022-09-02,50
2022-09-03,139
2022-09-04,62
2022-09-05,59
2022-09-06,71
2022-09-07,83
2022-09-08,60
2022-09-09,67
2022-09-10,135
2022-09-11,99
2022-09-12,88
2022-09-13,86
2022-09-14,101
2022-09-15,106
2022-09-16,102
2022-09-17,73
2022-09-18,144
2022-09-19,68
2022-09-20,83
2022-09-21,140
2022-09-22,74
2022-09-23,41
2022-09-24,119
2022-09-25,80
2022-09-26,102
2022-09-27,72
2022-09-28,43
2022-09-29,64
2022-09-30,60
2022-10-01,53
2022-10-02,119
2022-10-03,63
2022-10-04,86
2022-10-05,100
2022-10-06,82
2022-10-07,94
2022-10-08,119
2022-10-09,48
2022-10-10,98
2022-10-11,24
2022-10-12,91
2022-10-13,75
2022-10-14,115
2022-10-15,50
2022-10-16,78
2022-10-17,77
2022-10-18,70
2022-10-19,95
2022-10-20,41
2022-10-21,64
2022-10-22,91
2022-10-23,124
2022-10-24,119
2022-10-25,49
2022-10-26,75
2022-10-27,105
2022-10-28,114
2022-10-29,68
2022-10-30,106
2022-10-31,137
2022-11-01,60
2022-11-02,55
2022-11-03,112
2022-11-04,76
2022-11-05,163
2022-11-06,100
2022-11-07,77
2022-11-08,120
2022-11-09,53
2022-11-10,86
2022-11-11,62
2022-11-12,116
2022-11-13,68
2022-11-14,51
2022-11-15,91
2022-11-16,60
2022-11-17,127
2022-11-18,66
2022-11-19,114
2022-11-20,41
2022-11-21,75
2022-11-22,52
2022-11-23,105
2022-11-24,65
2022-11-25,100
2022-11-26,75
2022-11-27,75
2022-11-28,31
2022-11-29,30
2022-11-30,64
2022-12-01,34
2022-12-02,80
2022-12-03,28
2022-12-04,72
2022-12-05,66
2022-12-06,108
2022-12-07,40
2022-12-08,61
2022-12-09,165
2022-12-10,108
2022-12-11,93
2022-12-12,95
2022-12-13,31
2022-12-14,97
2022-12-15,89
2022-12-16,59
2022-12-17,113
2022-12-18,134
2022-12-19,112
2022-12-20,111
2022-12-21,75
2022-12-22,96
2022-12-23,37
2022-12-24,108
2022-12-25,131
2022-12-26,196
2022-12-27,117
2022-12-28,137
2022-12-29,110
2022-12-30,84
2022-12-31,63
2023-01-01,76
2023-01-02,129
2023-01-03,98
2023-01-04,40
2023-01-05,61
2023-01-06,95
2023-01-07,67
2023-01-08,87
2023-01-09,63
2023-01-10,63
2023-01-11,135
2023-01-12,115
2023-01-13,104
2023-01-14,90
2023-01-15,35
2023-01-16,84
2023-01-17,135
2023-01-18,70
2023-01-19,66
2023-01-20,47
2023-01-21,82
2023-01-22,140
2023-01-23,69
2023-01-24,60
2023-01-25,82
2023-01-26,130
2023-01-27,67
2023-01-28,108
2023-01-29,76
2023-01-30,35
2023-01-31,60
2023-02-01,35
2023-02-02,40
2023-02-03,55
2023-02-04,38
2023-02-05,23
2023-02-06,55
2023-02-07,80
2023-02-08,25
2023-02-09,39
2023-02-10,58
2023-02-11,60
2023-02-12,47
2023-02-13,84
2023-02-14,34
2023-02-15,39
2023-02-16,126
2023-02-17,21
2023-02-18,63
2023-02-19,65
2023-02-20,81
2023-02-21,36
2023-02-22,178
2023-02-23,52
2023-02-24,136
2023-02-25,67
2023-02-26,49
2023-02-27,44
2023-02-28,44
2023-03-01,148
2023-03-02,71
2023-03-03,113
2023-03-04,56
2023-03-05,53
2023-03-06,76
2023-03-07,67
2023-03-08,79
2023-03-09,102
2023-03-10,97
2023-03-11,79
2023-03-12,72
2023-03-13,44
2023-03-14,27
2023-03-15,175
2023-03-16,44
2023-03-17,60
2023-03-18,101
2023-03-19,101
2023-03-20,103
2023-03-21,88
2023-03-22,167
2023-03-23,46
2023-03-24,83
2023-03-25,137
2023-03-26,69
2023-03-27,55
2023-03-28,53
2023-03-29,138
2023-03-30,85
2023-03-31,65
2023-04-01,50
2023-04-02,127
2023-04-03,70
2023-04-04,15
2023-04-05,86
2023-04-06,24
2023-04-07,96
2023-04-08,111
2023-04-09,90
2023-04-10,116
2023-04-11,29
2023-04-12,45
2023-04-13,25
2023-04-14,36
2023-04-15,59
2023-04-16,61
2023-04-17,89
2023-04-18,38
2023-04-19,71
2023-04-20,58
2023-04-21,64
2023-04-22,57
2023-04-23,108
2023-04-24,40
2023-04-25,50
2023-04-26,37
2023-04-27,106
2023-04-28,52
2023-04-29,63
2023-04-30,61
2023-05-01,31
2023-05-02,55
2023-05-03,59
2023-05-04,27
2023-05-05,101
2023-05-06,121
2023-05-07,68
2023-05-08,38
2023-05-09,49
2023-05-10,79
2023-05-11,53
2023-05-12,35
2023-05-13,109
2023-05-14,37
2023-05-15,98
2023-05-16,116
2023-05-17,83
2023-05-18,50
2023-05-19,85
2023-05-20,46
2023-05-21,108
2023-05-22,107
2023-05-23,142
2023-05-24,66
2023-05-25,102
2023-05-26,93
2023-05-27,74
2023-05-28,87
2023-05-29,46
2023-05-30,74
2023-05-31,69
2023-06-01,141
2023-06-02,73
2023-06-03,82
2023-06-04,88
2023-06-05,127
2023-06-06,95
2023-06-07,126
2023-06-08,61
2023-06-09,85
2023-06-10,50
2023-06-11,103
2023-06-12,106
2023-06-13,84
2023-06-14,144
2023-06-15,106
2023-06-16,86
2023-06-17,66
2023-06-18,112
2023-06-19,153
2023-06-20,166
2023-06-21,60
2023-06-22,137
2023-06-23,114
2023-06-24,111
2023-06-25,99
2023-06-26,83
2023-06-27,81
2023-06-28,91
2023-06-29,134
2023-06-30,133
2023-07-01,60
2023-07-02,71
2023-07-03,79
2023-07-04,98
2023-07-05,147
2023-07-06,37
2023-07-07,56
2023-07-08,130
2023-07-09,82
2023-07-10,176
2023-07-11,75
2023-07-12,96
2023-07-13,91
2023-07-14,71
2023-07-15,52
2023-07-16,107
2023-07-17,22
2023-07-18,49
2023-07-19,93
2023-07-20,84
2023-07-21,24
2023-07-22,88
2023-07-23,127
2023-07-24,63
2023-07-25,81
2023-07-26,139
2023-07-27,98
2023-07-28,114
2023-07-29,58
2023-07-30,86
2023-07-31,50
2023-08-01,64
2023-08-02,121
2023-08-03,112
2023-08-04,69
2023-08-05,149
2023-08-06,23
2023-08-07,50
2023-08-08,142
2023-08-09,62
2023-08-10,39
2023-08-11,101
2023-08-12,97
2023-08-13,69
2023-08-14,67
2023-08-15,171
2023-08-16,78
2023-08-17,124
2023-08-18,43
2023-08-19,90
2023-08-20,91
2023-08-21,91
2023-08-22,116
2023-08-23,66
2023-08-24,71
2023-08-25,72
2023-08-26,76
2023-08-27,150
2023-08-28,94
2023-08-29,93
2023-08-30,132
2023-08-31,85
2023-09-01,119
2023-09-02,96
2023-09-03,103
2023-09-04,128
2023-09-05,55
2023-09-06,111
2023-09-07,122
2023-09-08,78
2023-09-09,94
2023-09-10,165
2023-09-11,100
2023-09-12,78
2023-09-13,99
2023-09-14,120
2023-09-15,33
2023-09-16,44
2023-09-17,112
2023-09-18,101
2023-09-19,110
2023-09-20,91
2023-09-21,49
2023-09-22,62
2023-09-23,100
2023-09-24,91
2023-09-25,81
2023-09-26,56
2023-09-27,62
2023-09-28,50
2023-09-29,81
2023-09-30,110
2023-10-01,113
2023-10-02,157
2023-10-03,64
2023-10-04,99
2023-10-05,50
2023-10-06,53
2023-10-07,50
2023-10-08,19
2023-10-09,42
2023-10-10,52
2023-10-11,90
2023-10-12,45
2023-10-13,34
2023-10-14,25
2023-10-15,24
2023-10-16,28
2023-10-17,42
2023-10-18,17
2023-10-19,62
2023-10-20,89
2023-10-21,38
2023-10-22,43
2023-10-23,109
2023-10-24,47
2023-10-25,114
2023-10-26,68
2023-10-27,145
2023-10-28,117
2023-10-29,104
2023-10-30,90
2023-10-31,47
2023-11-01,101
2023-11-02,143
2023-11-03,102
2023-11-04,100
2023-11-05,90
2023-11-06,99
2023-11-07,68
2023-11-08,106
2023-11-09,116
2023-11-10,56
2023-11-11,86
2023-11-12,81
2023-11-13,31
2023-11-14,97
2023-11-15,58
2023-11-16,186
2023-11-17,90
2023-11-18,70
2023-11-19,126
2023-11-20,122
2023-11-21,65
2023-11-22,106
2023-11-23,80
2023-11-24,34
2023-11-25,116
2023-11-26,94
2023-11-27,93
2023-11-28,107
2023-11-29,93
2023-11-30,117
2023-12-01,124
2023-12-02,159
2023-12-03,43
2023-12-04,84
2023-12-05,22
2023-12-06,121
2023-12-07,99
2023-12-08,159
2023-12-09,108
2023-12-10,129
2023-12-11,69
2023-12-12,143
2023-12-13,47
2023-12-14,81
2023-12-15,55
2023-12-16,47
2023-12-17,26
2023-12-18,127
2023-12-19,67
2023-12-20,91
2023-12-21,157
2023-12-22,71
2023-12-23,72
2023-12-24,112
2023-12-25,69
2023-12-26,119
2023-12-27,42
2023-12-28,78
2023-12-29,79
2023-12-30,53
2023-12-31,43
