,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand
271,2022-01-03,S004,P0012,Electronics,West,94,94,163,114.62,25,Sunny,1,112.97,Winter,0,173
275,2022-01-03,S004,P0016,Furniture,West,14,14,365,116.65,10,Sunny,1,139.43,Winter,0,102
279,2022-01-03,S004,P0020,Furniture,West,182,71,204,111.07,25,Sunny,1,95.71,Winter,0,95
284,2022-01-03,S005,P0005,Groceries,North,344,126,0,15.19,20,Snowy,1,14.86,Winter,0,130
285,2022-01-03,S005,P0006,Groceries,North,99,99,0,57.2,20,Snowy,1,66.25,Winter,0,159
293,2022-01-03,S005,P0014,Furniture,North,83,83,319,178.05,0,Snowy,0,202.29,Winter,0,95
295,2022-01-03,S005,P0016,Toys,North,0,0,614,41.54,10,Snowy,1,36.53,Winter,0,171
302,2022-01-04,S001,P0003,Clothing,North,0,0,0,46.51,20,Snowy,1,41.33,Winter,0,96
304,2022-01-04,S001,P0005,Groceries,North,0,0,0,52.34,20,Snowy,1,61.75,Winter,0,129
306,2022-01-04,S001,P0007,Groceries,North,0,0,0,25.59,20,Snowy,1,30.25,Winter,0,185
312,2022-01-04,S001,P0013,Toys,North,136,79,147,28.99,25,Snowy,1,25.69,Winter,0,126
313,2022-01-04,S001,P0014,Groceries,North,479,147,368,76.99,10,Snowy,1,73.32,Winter,0,133
319,2022-01-04,S001,P0020,Furniture,North,52,52,424,127.11,10,Snowy,0,111.71,Winter,0,110
322,2022-01-04,S002,P0003,Groceries,South,596,166,0,68.92,25,Cloudy,1,75.44,Winter,0,139
328,2022-01-04,S002,P0009,Groceries,South,389,110,262,63.42,20,Cloudy,1,60.75,Winter,0,161
332,2022-01-04,S002,P0013,Groceries,South,331,47,0,16.91,20,Cloudy,1,14.67,Winter,0,69
336,2022-01-04,S002,P0017,Toys,South,196,95,0,17.01,25,Cloudy,1,20.16,Winter,0,119
344,2022-01-04,S003,P0005,Toys,East,106,106,680,21.41,20,Sunny,1,22.92,Winter,0,149
346,2022-01-04,S003,P0007,Groceries,East,0,0,670,16.12,20,Sunny,1,18.73,Winter,0,170
347,2022-01-04,S003,P0008,Clothing,East,307,174,357,131.49,10,Sunny,0,119.27,Winter,0,156
348,2022-01-04,S003,P0009,Groceries,East,168,86,0,43.15,25,Sunny,1,50.59,Winter,0,116
351,2022-01-04,S003,P0012,Furniture,East,224,62,0,87.64,20,Sunny,1,76.28,Winter,0,90
352,2022-01-04,S003,P0013,Groceries,East,0,0,0,66.9,25,Sunny,1,71.48,Winter,0,166
353,2022-01-04,S003,P0014,Groceries,East,128,128,688,101.6,25,Sunny,1,110.1,Winter,0,227
356,2022-01-04,S003,P0017,Furniture,East,63,63,498,138.36,10,Sunny,1,149.04,Winter,0,148
357,2022-01-04,S003,P0018,Furniture,East,125,87,486,123.23,20,Sunny,1,138.76,Winter,0,115
361,2022-01-04,S004,P0002,Groceries,West,245,133,357,24.76,0,Cloudy,0,26.42,Winter,0,164
366,2022-01-04,S004,P0007,Groceries,West,0,0,0,25.97,20,Cloudy,1,22.56,Winter,0,120
368,2022-01-04,S004,P0009,Clothing,West,299,201,0,143.79,15,Cloudy,1,165.24,Winter,0,235
371,2022-01-04,S004,P0012,Electronics,West,163,80,0,97.47,25,Cloudy,1,96.97,Winter,0,117
372,2022-01-04,S004,P0013,Groceries,West,385,165,0,21.87,20,Cloudy,1,23.8,Winter,0,198
373,2022-01-04,S004,P0014,Furniture,West,246,23,0,110.34,25,Cloudy,1,106.7,Winter,0,28
376,2022-01-04,S004,P0017,Clothing,West,263,35,0,67.23,20,Cloudy,1,78.11,Winter,0,54
377,2022-01-04,S004,P0018,Furniture,West,133,123,96,155.02,20,Cloudy,1,150.33,Winter,0,113
379,2022-01-04,S004,P0020,Furniture,West,111,111,329,158.31,5,Cloudy,0,181.3,Winter,0,150
388,2022-01-04,S005,P0009,Groceries,North,330,160,482,83.39,25,Snowy,1,100.61,Winter,0,146
390,2022-01-04,S005,P0011,Electronics,North,79,79,374,85.83,0,Snowy,0,73.3,Winter,0,99
393,2022-01-04,S005,P0014,Furniture,North,219,76,0,150.93,20,Snowy,1,142.02,Winter,0,97
396,2022-01-04,S005,P0017,Toys,North,130,78,122,29.38,25,Snowy,1,32.52,Winter,0,107
400,2022-01-05,S001,P0001,Electronics,North,319,129,0,59.56,25,Snowy,1,57.34,Winter,0,110
403,2022-01-05,S001,P0004,Electronics,North,184,38,0,76.08,25,Snowy,1,75.04,Winter,0,62
405,2022-01-05,S001,P0006,Toys,North,172,143,0,35.63,25,Snowy,1,34.75,Winter,0,125
410,2022-01-05,S001,P0011,Furniture,North,302,62,0,137.69,25,Snowy,1,120.07,Winter,0,95
411,2022-01-05,S001,P0012,Groceries,North,382,111,0,65.96,25,Snowy,1,58.69,Winter,0,101
415,2022-01-05,S001,P0016,Groceries,North,272,140,0,43.67,20,Snowy,1,40.52,Winter,0,200
417,2022-01-05,S001,P0018,Groceries,North,221,109,119,57.56,20,Snowy,1,52.64,Winter,0,136
419,2022-01-05,S001,P0020,Furniture,North,0,0,0,122.84,20,Snowy,1,110.93,Winter,0,137
420,2022-01-05,S002,P0001,Groceries,South,509,132,371,80.86,20,Snowy,1,69.75,Winter,0,154
427,2022-01-05,S002,P0008,Groceries,South,86,86,140,23.51,25,Snowy,1,20.93,Winter,0,145
428,2022-01-05,S002,P0009,Groceries,South,279,243,521,86.08,10,Snowy,1,81.81,Winter,0,236
430,2022-01-05,S002,P0011,Groceries,South,559,206,568,120.94,10,Snowy,1,114.78,Winter,0,201
433,2022-01-05,S002,P0014,Electronics,South,289,171,0,126.06,20,Snowy,1,111.81,Winter,0,155
435,2022-01-05,S002,P0016,Clothing,South,353,173,264,80.89,25,Snowy,1,89.91,Winter,0,161
437,2022-01-05,S002,P0018,Clothing,South,206,120,0,22.23,25,Snowy,1,25.93,Winter,0,115
438,2022-01-05,S002,P0019,Clothing,South,391,96,0,68.86,20,Snowy,1,76.1,Winter,0,90
440,2022-01-05,S003,P0001,Toys,East,316,141,409,18.5,20,Sunny,1,18.46,Winter,0,187
443,2022-01-05,S003,P0004,Groceries,East,462,162,398,22.18,20,Sunny,1,22.13,Winter,0,140
444,2022-01-05,S003,P0005,Toys,East,212,69,0,19.88,20,Sunny,1,17.89,Winter,0,107
447,2022-01-05,S003,P0008,Clothing,East,133,124,0,123.56,25,Sunny,1,113.39,Winter,0,202
450,2022-01-05,S003,P0011,Electronics,East,503,243,0,130.31,25,Sunny,1,146.68,Winter,0,217
451,2022-01-05,S003,P0012,Furniture,East,468,175,0,100.54,20,Sunny,1,118.36,Winter,0,151
453,2022-01-05,S003,P0014,Groceries,East,0,0,0,96.42,20,Sunny,1,108.79,Winter,0,179
455,2022-01-05,S003,P0016,Electronics,East,163,152,404,100.22,25,Sunny,1,85.84,Winter,0,175
457,2022-01-05,S003,P0018,Furniture,East,354,86,0,122.47,20,Sunny,1,121.36,Winter,0,97
458,2022-01-05,S003,P0019,Groceries,East,106,106,317,69.98,25,Sunny,1,74.67,Winter,0,307
459,2022-01-05,S003,P0020,Clothing,East,270,146,0,71.56,25,Sunny,1,78.7,Winter,0,180
460,2022-01-05,S004,P0001,Groceries,West,287,88,0,9.25,20,Cloudy,1,10.18,Winter,0,111
465,2022-01-05,S004,P0006,Groceries,West,229,55,0,28.72,20,Cloudy,1,25.42,Winter,0,78
467,2022-01-05,S004,P0008,Furniture,West,103,74,96,89.39,20,Cloudy,1,88.36,Winter,0,96
468,2022-01-05,S004,P0009,Clothing,West,592,115,0,96.07,20,Cloudy,1,107.21,Winter,0,107
469,2022-01-05,S004,P0010,Groceries,West,597,218,784,29.29,20,Cloudy,1,31.07,Winter,0,222
471,2022-01-05,S004,P0012,Electronics,West,83,83,131,111.58,20,Cloudy,1,131.13,Winter,0,158
473,2022-01-05,S004,P0014,Furniture,West,223,46,0,119.71,25,Cloudy,1,119.28,Winter,0,48
475,2022-01-05,S004,P0016,Furniture,West,126,83,0,107.39,20,Cloudy,1,91.29,Winter,0,97
477,2022-01-05,S004,P0018,Furniture,West,106,106,119,147.45,20,Cloudy,1,176.11,Winter,0,114
478,2022-01-05,S004,P0019,Clothing,West,89,54,96,43.1,25,Cloudy,1,47.26,Winter,0,83
480,2022-01-05,S005,P0001,Groceries,North,258,163,339,13.08,10,Snowy,1,14.13,Winter,0,161
484,2022-01-05,S005,P0005,Groceries,North,35,35,0,10.42,25,Snowy,1,11.06,Winter,0,53
488,2022-01-05,S005,P0009,Groceries,North,170,74,0,73.22,25,Snowy,1,80.3,Winter,0,103
489,2022-01-05,S005,P0010,Groceries,North,963,144,0,53.57,25,Snowy,1,61.18,Winter,0,157
493,2022-01-05,S005,P0014,Furniture,North,143,60,0,133.69,20,Snowy,1,154.85,Winter,0,77
497,2022-01-05,S005,P0018,Clothing,North,105,34,0,13.19,25,Snowy,1,14.95,Winter,0,37
499,2022-01-05,S005,P0020,Toys,North,139,65,118,25.81,20,Snowy,1,28.69,Winter,0,108
500,2022-01-06,S001,P0001,Electronics,North,190,98,308,84.03,0,Sunny,0,95.54,Winter,0,146
501,2022-01-06,S001,P0002,Clothing,North,156,86,103,55.73,20,Sunny,1,67.09,Winter,0,115
502,2022-01-06,S001,P0003,Clothing,North,456,97,442,62.85,5,Sunny,0,61.5,Winter,0,138
503,2022-01-06,S001,P0004,Electronics,North,146,41,115,76.7,25,Sunny,1,69.92,Winter,0,65
505,2022-01-06,S001,P0006,Toys,North,310,130,440,44.53,10,Sunny,0,38.82,Winter,0,138
510,2022-01-06,S001,P0011,Furniture,North,240,96,197,135.85,25,Sunny,1,115.6,Winter,0,91
528,2022-01-06,S002,P0009,Groceries,South,298,113,0,54.33,25,Snowy,1,50.38,Winter,0,129
530,2022-01-06,S002,P0011,Groceries,South,353,152,0,92.11,20,Snowy,1,89.74,Winter,0,143
531,2022-01-06,S002,P0012,Electronics,South,864,70,0,68.15,5,Snowy,0,58.85,Winter,0,92
532,2022-01-06,S002,P0013,Groceries,South,218,108,544,24.89,10,Snowy,1,24.8,Winter,0,154
534,2022-01-06,S002,P0015,Clothing,South,985,117,0,74.99,0,Snowy,0,72.16,Winter,0,107
541,2022-01-06,S003,P0002,Groceries,East,508,138,477,59.42,10,Snowy,1,62.8,Winter,0,150
543,2022-01-06,S003,P0004,Groceries,East,300,82,0,18.16,25,Snowy,1,16.66,Winter,0,96
548,2022-01-06,S003,P0009,Groceries,East,209,130,0,51.96,20,Snowy,1,44.71,Winter,0,140
554,2022-01-06,S003,P0015,Groceries,East,1032,59,0,86.56,5,Snowy,0,102.23,Winter,0,77
560,2022-01-06,S004,P0001,Groceries,West,933,85,0,10.92,10,Snowy,0,11.72,Winter,0,126
561,2022-01-06,S004,P0002,Groceries,West,382,191,334,20.33,20,Snowy,1,22.59,Winter,0,174
563,2022-01-06,S004,P0004,Groceries,West,340,70,304,39.0,25,Snowy,1,44.3,Winter,0,88
568,2022-01-06,S004,P0009,Clothing,West,477,220,506,131.78,15,Snowy,1,149.1,Winter,0,198
570,2022-01-06,S004,P0011,Clothing,West,835,93,0,55.64,10,Snowy,1,61.42,Winter,0,106
581,2022-01-06,S005,P0002,Electronics,North,311,84,389,37.21,20,Sunny,1,33.72,Winter,0,114
585,2022-01-06,S005,P0006,Groceries,North,719,198,652,73.71,5,Sunny,0,80.71,Winter,0,190
589,2022-01-06,S005,P0010,Groceries,North,819,80,0,58.62,5,Sunny,0,68.66,Winter,0,108
590,2022-01-06,S005,P0011,Electronics,North,260,100,0,67.74,25,Sunny,1,77.94,Winter,0,132
592,2022-01-06,S005,P0013,Groceries,North,421,185,514,76.03,20,Sunny,1,90.91,Winter,0,182
594,2022-01-06,S005,P0015,Groceries,North,144,144,333,57.1,10,Sunny,0,67.76,Winter,0,178
595,2022-01-06,S005,P0016,Toys,North,817,51,0,31.42,5,Sunny,0,36.64,Winter,0,78
604,2022-01-07,S001,P0005,Groceries,North,1357,64,0,56.02,10,Snowy,0,47.81,Winter,0,97
611,2022-01-07,S001,P0012,Groceries,North,171,56,131,61.32,20,Snowy,1,70.34,Winter,0,76
612,2022-01-07,S001,P0013,Toys,North,199,44,0,23.68,25,Snowy,1,23.5,Winter,0,66
613,2022-01-07,S001,P0014,Groceries,North,476,109,0,60.19,20,Snowy,1,65.11,Winter,0,108
615,2022-01-07,S001,P0016,Groceries,North,614,148,0,38.9,20,Snowy,1,42.05,Winter,0,175
617,2022-01-07,S001,P0018,Groceries,North,108,108,134,50.74,25,Snowy,1,55.32,Winter,0,132
619,2022-01-07,S001,P0020,Furniture,North,275,111,0,122.03,20,Snowy,1,108.97,Winter,0,135
622,2022-01-07,S002,P0003,Groceries,South,240,72,244,59.13,25,Cloudy,1,54.77,Winter,0,75
626,2022-01-07,S002,P0007,Toys,South,276,200,492,32.05,20,Cloudy,1,31.94,Winter,0,195
633,2022-01-07,S002,P0014,Electronics,South,649,98,708,114.8,25,Cloudy,1,133.09,Winter,0,163
634,2022-01-07,S002,P0015,Clothing,South,868,135,0,73.85,5,Cloudy,0,70.93,Winter,0,118
635,2022-01-07,S002,P0016,Clothing,South,414,93,0,79.33,25,Cloudy,1,68.51,Winter,0,136
636,2022-01-07,S002,P0017,Toys,South,339,144,442,21.92,10,Cloudy,0,21.41,Winter,0,126
638,2022-01-07,S002,P0019,Clothing,South,595,141,770,107.35,5,Cloudy,0,128.83,Winter,0,183
639,2022-01-07,S002,P0020,Furniture,South,344,150,498,152.69,15,Cloudy,1,137.76,Winter,0,163
642,2022-01-07,S003,P0003,Electronics,East,170,168,198,102.47,20,Sunny,1,122.65,Winter,0,224
646,2022-01-07,S003,P0007,Groceries,East,325,204,0,19.27,20,Sunny,1,16.62,Winter,0,220
651,2022-01-07,S003,P0012,Furniture,East,221,58,0,67.81,25,Sunny,1,77.88,Winter,0,51
652,2022-01-07,S003,P0013,Groceries,East,1231,115,0,72.09,15,Sunny,1,62.68,Winter,0,130
653,2022-01-07,S003,P0014,Groceries,East,821,266,0,101.16,25,Sunny,1,112.75,Winter,0,225
654,2022-01-07,S003,P0015,Groceries,East,973,39,0,77.03,10,Sunny,0,84.04,Winter,0,59
659,2022-01-07,S003,P0020,Clothing,East,769,169,891,108.81,10,Sunny,1,93.08,Winter,0,259
660,2022-01-07,S004,P0001,Groceries,West,848,99,0,11.13,5,Cloudy,0,13.29,Winter,0,115
662,2022-01-07,S004,P0003,Furniture,West,508,119,0,123.07,25,Cloudy,1,111.21,Winter,0,107
666,2022-01-07,S004,P0007,Groceries,West,665,61,0,20.88,25,Cloudy,1,20.15,Winter,0,74
671,2022-01-07,S004,P0012,Electronics,West,70,70,128,91.49,25,Cloudy,1,100.84,Winter,0,113
672,2022-01-07,S004,P0013,Groceries,West,540,175,611,20.53,25,Cloudy,1,18.47,Winter,0,178
673,2022-01-07,S004,P0014,Furniture,West,121,111,306,199.44,10,Cloudy,1,236.04,Winter,0,164
677,2022-01-07,S004,P0018,Furniture,West,142,90,72,143.49,20,Cloudy,1,142.13,Winter,0,90
688,2022-01-07,S005,P0009,Groceries,North,491,124,504,112.68,5,Snowy,0,109.74,Winter,0,151
692,2022-01-07,S005,P0013,Groceries,North,236,176,0,76.85,20,Snowy,1,74.22,Winter,0,166
693,2022-01-07,S005,P0014,Furniture,North,344,82,344,134.38,25,Snowy,1,143.16,Winter,0,97
697,2022-01-07,S005,P0018,Clothing,North,127,77,114,18.28,20,Snowy,1,20.61,Winter,0,110
703,2022-01-08,S001,P0004,Electronics,North,155,32,0,69.37,20,Snowy,1,78.42,Winter,0,36
704,2022-01-08,S001,P0005,Groceries,North,1293,95,0,53.57,5,Snowy,0,59.53,Winter,0,83
705,2022-01-08,S001,P0006,Toys,North,95,90,0,35.55,20,Snowy,1,37.46,Winter,0,119
706,2022-01-08,S001,P0007,Groceries,North,538,174,650,25.99,10,Snowy,1,31.25,Winter,0,147
710,2022-01-08,S001,P0011,Furniture,North,282,63,0,125.42,25,Snowy,1,135.96,Winter,0,83
713,2022-01-08,S001,P0014,Groceries,North,367,75,348,55.78,25,Snowy,1,58.86,Winter,0,104
715,2022-01-08,S001,P0016,Groceries,North,466,161,508,36.88,25,Snowy,1,32.95,Winter,0,160
717,2022-01-08,S001,P0018,Groceries,North,134,134,229,77.51,15,Snowy,1,73.76,Winter,0,227
722,2022-01-08,S002,P0003,Groceries,South,168,87,422,78.72,10,Cloudy,1,93.43,Winter,0,122
723,2022-01-08,S002,P0004,Groceries,South,213,70,0,28.79,25,Cloudy,1,34.33,Winter,0,71
725,2022-01-08,S002,P0006,Clothing,South,134,92,120,60.13,25,Cloudy,1,54.74,Winter,0,143
726,2022-01-08,S002,P0007,Toys,South,76,76,441,33.12,10,Cloudy,1,32.8,Winter,0,163
730,2022-01-08,S002,P0011,Groceries,South,584,125,526,97.54,20,Cloudy,1,107.49,Winter,0,183
733,2022-01-08,S002,P0014,Electronics,South,551,170,0,130.84,20,Cloudy,1,124.27,Winter,0,169
734,2022-01-08,S002,P0015,Clothing,South,733,217,798,75.7,20,Cloudy,1,66.84,Winter,0,188
735,2022-01-08,S002,P0016,Clothing,South,321,112,409,98.35,15,Cloudy,1,104.4,Winter,0,187
737,2022-01-08,S002,P0018,Clothing,South,140,140,191,30.56,25,Cloudy,1,29.2,Winter,0,213
740,2022-01-08,S003,P0001,Toys,East,453,116,0,13.26,25,Sunny,1,15.82,Winter,0,110
741,2022-01-08,S003,P0002,Groceries,East,224,68,0,40.08,25,Sunny,1,44.12,Winter,0,83
742,2022-01-08,S003,P0003,Electronics,East,200,179,204,99.43,25,Sunny,1,95.25,Winter,0,217
743,2022-01-08,S003,P0004,Groceries,East,473,60,0,16.05,25,Sunny,1,14.37,Winter,0,61
745,2022-01-08,S003,P0006,Toys,East,148,120,124,37.68,20,Sunny,1,34.33,Winter,0,137
746,2022-01-08,S003,P0007,Groceries,East,791,315,1073,20.56,25,Sunny,1,19.43,Winter,0,279
747,2022-01-08,S003,P0008,Clothing,East,169,169,355,111.58,25,Sunny,1,106.85,Winter,0,162
750,2022-01-08,S003,P0011,Electronics,East,320,118,229,120.03,20,Sunny,1,102.99,Winter,0,141
752,2022-01-08,S003,P0013,Groceries,East,1116,112,0,80.03,0,Sunny,0,90.6,Winter,0,128
753,2022-01-08,S003,P0014,Groceries,East,555,94,0,77.3,25,Sunny,1,89.81,Winter,0,123
754,2022-01-08,S003,P0015,Groceries,East,934,151,0,125.22,10,Sunny,1,113.06,Winter,0,203
755,2022-01-08,S003,P0016,Electronics,East,413,83,0,90.27,20,Sunny,1,80.01,Winter,0,116
759,2022-01-08,S003,P0020,Clothing,East,600,210,0,120.06,0,Sunny,0,111.2,Winter,0,256
760,2022-01-08,S004,P0001,Groceries,West,749,123,0,11.21,20,Cloudy,1,9.69,Winter,0,158
761,2022-01-08,S004,P0002,Groceries,West,441,145,0,19.45,20,Cloudy,1,17.32,Winter,0,140
